               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,             0.03318,           0.0083389,                   0,             0.70359,               0.633,             0.62557,             0.22539,            0.048824,            0.010659,                   0,           0.0038873,           0.0038873,           0.0038873
                  76,            0.032665,             0.00811,                   0,             0.69616,                0.65,             0.64064,             0.26708,            0.047652,            0.010916,                   0,           0.0037779,           0.0037779,           0.0037779
                  77,             0.03311,           0.0075479,                   0,             0.79241,             0.69983,             0.71663,             0.31118,             0.04968,            0.011366,                   0,           0.0036697,           0.0036697,           0.0036697
                  78,             0.03298,           0.0082313,                   0,             0.78882,             0.63333,              0.6805,             0.27492,             0.04923,            0.010283,                   0,           0.0035627,           0.0035627,           0.0035627
                  79,            0.031873,           0.0085539,                   0,             0.56678,                0.65,              0.5658,             0.23898,            0.049376,            0.011305,                   0,            0.003457,            0.003457,            0.003457
                  80,            0.031241,           0.0081709,                   0,             0.63368,             0.74961,             0.67143,             0.26397,            0.047164,            0.010595,                   0,           0.0033528,           0.0033528,           0.0033528
                  81,            0.032001,           0.0081224,                   0,             0.64975,             0.64928,             0.61791,             0.27983,            0.049596,            0.010743,                   0,             0.00325,             0.00325,             0.00325
                  82,            0.031585,           0.0080723,                   0,             0.67157,             0.74977,             0.70676,             0.26593,            0.051343,            0.010721,                   0,           0.0031488,           0.0031488,           0.0031488
                  83,            0.030935,           0.0076289,                   0,              0.6784,             0.63333,             0.62133,             0.24388,            0.050046,            0.010965,                   0,           0.0030491,           0.0030491,           0.0030491
                  84,            0.031347,            0.007904,                   0,             0.69972,             0.58257,             0.61132,             0.24293,            0.050372,            0.011896,                   0,           0.0029512,           0.0029512,           0.0029512
                  85,            0.031386,           0.0076681,                   0,             0.70889,             0.64937,             0.65744,              0.2681,            0.048771,            0.011599,                   0,            0.002855,            0.002855,            0.002855
                  86,            0.030658,           0.0077764,                   0,             0.69491,             0.68331,             0.67103,             0.25436,            0.047523,            0.011152,                   0,           0.0027606,           0.0027606,           0.0027606
                  87,            0.030724,           0.0072719,                   0,             0.71425,             0.66667,             0.62833,             0.25596,            0.050187,            0.010981,                   0,           0.0026681,           0.0026681,           0.0026681
                  88,            0.031257,           0.0077773,                   0,             0.75921,             0.68333,             0.65485,             0.26114,            0.046914,            0.011204,                   0,           0.0025775,           0.0025775,           0.0025775
